,text,start,duration
0,"So, this is the input this is the output this
is sorted. So, if we talk about runtime if",1191.93,8.21
0,"you see here for this 10, we have just moving
1 position for this 11 we are not doing anything",1200.14,8.17
0,"just 1 comparison, but for this 1 if you see
1 as to come a long way to the beginning.",1208.31,7.13
0,"So, 1 has to compare with everybody. So, 1
has to come long way to the beginning.",1215.44,6.9
0,"So, from there we can think that the run time
will depend on what. So, runtime depend on",1222.34,9.14
0,"the input. So, we will talk about runtime,
runtime of our algorithm run time of the insertion",1231.48,10.29
0,"sort.
So, runtime means time taking by time taking",1241.77,15.83
0,"to run this code. So, this runtime will depend
on what? It depends on few things first one",1257.6,18.24
0,"is size of the input see if you have to sort
10 numbers and if we have to sort 10,000 numbers;",1275.84,13.32
0,"obviously, 10,000 number will take more time
than 10 numbers. So, runtime; obviously, will",1289.16,5.94
0,"depend on the input size that n. So, runtime
will depend on the n. So, we want to. So,",1295.1,10.53
0,"run time is a function of n. So, we want to
parameterize the run time by n. So, you want",1305.63,6.31
0,"to fix this n then you want to talk about
the run time. So, we want 2 parameters since",1311.94,4.25
0,"it is a function of n because; obviously,
if number of input is more than the time to",1316.19,7.58
0,"sort will be more ok.
So, we will parameterize this by n. So, that",1323.77,6.03
0,"is T n is the run time for our code runtime
with when the input size is n with n input.",1329.8,10.86
0,"So, we fix n then this is a function this
is denoted by T n. So, T n is our runtime",1340.66,9.13
0,"for n input where n is fixed. So, we fix the
size of the input. Now once you fix the size",1349.79,7.93
0,"of the input then the for our insertion sort
runtime will depend on what here if you see",1357.72,7.9
0,"this one for example, if our input is this
input say now for this eleven which was not",1365.62,8.06
0,"doing anything just 1 comparison, but for
this one we have to come long way to the beginning.",1373.68,6.59
0,"So, runtime will depend on the input pattern
ok.",1380.27,4.2
0,"So, if the array is sorted if the input is
already sorted then it will take less time,",1384.47,12.83
0,"and if the input is reverse sorted then it
will take more time reverse sorted means everybody",1397.3,5.1
0,"has to come for to the beginning in each step
each for loop. So, it will depend on the input.",1402.4,8.23
0,"So, if the input is sorted then the time will
take less because if the input is sorted say",1410.63,11.92
0,"for example, if our input is.",1422.55,4.0
0,"So, if our input is 4 6 7 9 10 12 if this
is our input which is already sorted array,",1426.55,13.58
0,"then if you run the insertion sort we just
compare this with this stop this with this",1440.13,5.9
0,"stop like this.
So, this is the this is easier to sort I mean",1446.03,4.671
0,"this will take less time than if the input
is say reverse sorted say if we have this",1450.701,6.509
0,"input 9, 6, 5, 3, 2, 1 if the input is reverse
sorted if the input is this, then everybody",1457.21,11.05
0,"has to come forward then it is the time the
time will take more. So, this runtime will",1468.26,7.55
0,"depend on the input pattern, in the sense
that a sorted array already sorted array a",1475.81,15.45
0,"sorted array is easier to sort will take less
time in sorted array less time than then if",1491.26,15.42
0,"we if the array is reverse sort it will take
more time, then the reverse sorted array.",1506.68,13.22
0,"So, runtime will depend on the pattern of
the input. So, if we sort if a array is already",1519.9,9.52
0,"sorted then it will take less time if a array
is reverse sorted it will take more time because",1529.42,5.67
0,"everybody has to come forward in that case.
So, based on this, we will talk about 3 types",1535.09,8.04
0,"of analysis, worst case, best case and average
case analysis. So, this will depend on for",1543.13,9.3
0,"insertion sort it will depend on the pattern
of the input. So, we will do the types of",1552.43,15.62
0,analysis.,1568.05,1.92
0,"So, first one is worst case. So, worst case
means it is taking more time maximum time",1569.97,13.63
0,"T n is taking. So, we will talk more details
in the next class. So, it is taking more time",1583.6,5.82
0,"maximum time it is taking by our code and
the best case worst case for insertion sort",1589.42,8.18
0,"is if the input is reverse sorted then it
is taking maximum time and the best cases",1597.6,6.3
0,"is if the input for insertion sort if the
input is already sorted, then we are we are",1603.9,5.89
0,"having the we are spending the less time to
sort it and there is another case which is",1609.79,7.54
0,"called average case average case means if
we assume the on an average how much time",1617.33,7.1
0,"it is taking, but it should be some expected
expectation. So, for expectation may be we",1624.43,5.12
0,"need to take some distribution of the input
pattern and then we talk about the expectation.",1629.55,5.54
0,"So, this we will discuss in the next class.
Thank you.",1635.09,4.14
